Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Carmen Martinez,463,0,16325.42,794,0,1481.8700000000001,20,0,51220.11,530,0,31528.18,682,0,71234.77,703,0
Gilberto Ayala,464,0,16135.09,797,0,54559.5,540,0,63274.47,635,0,61777.81,387,0,3054.59,27,0
Linda Shepard,465,0,22556.37,743,0,46466.19,463,0,41050.840000000004,430,0,42186.91,576,0,55467.36,550,0
Kailey Crosby,466,0,70495.02,291,0,50915.49,509,0,15812.73,153,0,82575.0,180,0,63817.94,624,0
Skyler Mccarthy,467,0,5401.24,921,0,3266.48,37,0,42717.340000000004,447,0,365.47,999,0,50452.1,502,0
Karli Ford,468,0,4690.56,932,0,94554.6,931,0,73938.86,732,0,5793.35,945,0,7500.78,65,0
Julian Espinoza,469,0,4845.62,929,0,52463.48,520,0,5284.83,47,0,39586.88,609,0,66345.11,654,0
Jayleen Perry,470,0,61401.03,375,0,29296.34,298,0,17527.850000000002,176,0,77096.83,238,0,48967.15,485,0
Malachi Barrett,471,0,77643.07,210,0,26059.16,258,0,75290.56,748,0,19323.4,814,0,10732.83,92,0
Marcus Small,472,0,49367.89,503,0,78520.96,775,0,37478.19,382,0,67621.96,334,0,82757.32,831,0
Braydon Morse,473,0,3963.69,945,0,95106.0,940,0,925.19,7,0,31157.9,685,0,34168.22,333,0
Malaki Velazquez,474,0,28153.940000000002,683,0,71847.55,713,0,42397.14,442,0,95812.48,47,0,16893.59,166,0
Ellen Donaldson,475,0,69850.22,297,0,85895.36,842,0,59186.39,601,0,91748.18000000001,93,0,31671.63,303,0
Larissa Zimmerman,476,0,64005.65,352,0,12420.83,124,0,28252.18,276,0,57043.81,441,0,63809.49,623,0
Vincent Berry,477,0,63020.5,363,0,11602.32,116,0,29538.190000000002,292,0,69291.71,318,0,27810.04,256,0
Tyler Melendez,478,0,3649.11,949,0,54614.03,541,0,46906.3,492,0,48756.14,523,0,66364.67,655,0
Sergio Stokes,479,0,41032.840000000004,577,0,28602.73,291,0,99335.87,998,0,64145.16,369,0,86209.78,859,0
Lindsey Clarke,480,0,15994.78,802,0,88451.97,879,0,36702.0,375,0,58921.73,423,0,29433.18,275,0
Makenna Kirk,481,0,489.79,993,0,14042.85,138,0,32708.8,330,0,55715.520000000004,454,0,63501.3,619,0
Harry Dawson,482,0,82969.79000000001,162,0,59296.66,585,0,12344.380000000001,118,0,37419.73,632,0,28878.97,268,0
Zara Buckley,483,0,22142.8,746,0,23815.170000000002,240,0,30740.850000000002,306,0,16400.69,843,0,80660.65000000001,800,0
Beau Irwin,484,0,34530.9,629,0,66849.58,664,0,27946.13,271,0,44765.89,555,0,76634.79000000001,755,0
Malcolm Savage,485,0,12186.710000000001,852,0,89346.69,887,0,32374.9,325,0,12690.630000000001,878,0,58605.37,583,0
Donte Richmond,486,0,38129.16,591,0,78806.66,779,0,94129.93000000001,941,0,17426.2,829,0,41161.01,405,0
Bennett Shea,487,0,11402.380000000001,866,0,92749.24,913,0,57589.06,591,0,71033.38,301,0,10882.61,96,0
Kristopher Callahan,488,0,3857.39,947,0,10852.58,107,0,53501.03,548,0,9952.95,906,0,30774.88,294,0
Issac Parker,489,0,35683.94,618,0,81337.55,802,0,7579.16,72,0,67125.63,341,0,78898.27,787,0
Katrina Watkins,490,0,34651.340000000004,627,0,46142.8,462,0,14613.73,142,0,2200.84,986,0,43315.16,430,0
Shamar Yoder,491,0,92826.17,67,0,38512.91,394,0,66213.48,664,0,35541.92,647,0,30095.63,287,0
Alessandro Phillips,492,0,51890.700000000004,477,0,11350.09,112,0,32348.760000000002,324,0,64236.14,366,0,29704.5,281,0
Araceli Payne,493,0,64283.770000000004,351,0,57784.99,572,0,53929.98,556,0,24255.83,765,0,85178.61,847,0
Meadow Benjamin,494,0,69015.73,306,0,91893.94,906,0,78363.74,780,0,5192.18,956,0,73661.72,730,0
Landyn Lester,495,0,87435.39,121,0,59988.03,590,0,8512.4,83,0,75409.25,254,0,85050.88,845,0
Bailey Shea,496,0,2027.98,975,0,13780.61,135,0,83984.81,842,0,8087.08,923,0,32183.16,308,0
Aedan Mcmillan,497,0,88623.84,106,0,500.65000000000003,7,0,87623.58,871,0,54015.6,476,0,35438.17,343,0
Ronin Chapman,498,0,56738.62,424,0,93991.98,927,0,67790.94,680,0,15189.17,859,0,62791.39,605,0
Aubrey Li,499,0,70629.07,289,0,72900.96,726,0,55237.44,573,0,29787.48,697,0,49968.11,492,0
Drake Larsen,500,0,61462.770000000004,374,0,63022.48,627,0,55672.65,576,0,82756.04000000001,178,0,33619.76,325,0
Katherine Travis,501,0,62074.03,370,0,79368.52,785,0,1329.54,16,0,81261.66,197,0,4213.67,37,0
Max Jacobson,502,0,80523.48,187,0,52897.630000000005,525,0,17960.13,181,0,97543.44,27,0,99447.53,1000,0
Dario Dawson,503,0,78534.32,200,0,9038.51,91,0,78256.22,778,0,23516.84,773,0,28904.940000000002,269,0
Jamarcus Mcdonald,504,0,71686.79000000001,281,0,26486.68,262,0,65573.0,656,0,73457.49,278,0,68384.94,673,0
Isla Khan,505,0,16228.470000000001,796,0,1179.77,17,0,37057.85,379,0,97505.90000000001,28,0,50182.05,495,0
Camron Jenkins,506,0,4129.4400000000005,941,0,23044.48,226,0,20856.39,205,0,28567.06,715,0,92957.13,929,0
Finnegan Cameron,507,0,4847.43,928,0,11242.07,110,0,28573.62,282,0,5337.06,951,0,93056.68000000001,930,0
Jazmyn Fischer,508,0,92736.97,68,0,41568.11,423,0,22329.170000000002,217,0,54001.73,477,0,19579.170000000002,193,0
Maddison Velasquez,509,0,50100.01,493,0,43414.9,443,0,55939.520000000004,580,0,95354.24,50,0,48390.950000000004,474,0
Adrienne Good,510,0,55874.270000000004,434,0,51162.79,511,0,3663.9500000000003,37,0,64460.92,363,0,31212.440000000002,300,0
Arabella Potts,511,0,85767.03,138,0,58905.44,582,0,54139.68,558,0,50729.12,502,0,55910.58,554,0
Richard Long,512,0,29484.850000000002,669,0,95222.88,945,0,11788.130000000001,112,0,40696.54,593,0,16849.78,165,0
Isabela Oneill,513,0,62268.22,368,0,14568.15,143,0,27374.600000000002,267,0,93958.09,71,0,1291.15,9,0
Kaya Phillips,514,0,40380.29,582,0,7395.85,80,0,54961.770000000004,567,0,49192.37,518,0,46152.520000000004,454,0
Raven Alvarado,515,0,35354.67,621,0,65133.560000000005,644,0,55185.22,571,0,59016.450000000004,420,0,65918.45,643,0
Emmalee Becker,516,0,66900.09,321,0,51021.53,510,0,79259.94,789,0,85356.95,154,0,3183.16,30,0
Joselyn Sanford,517,0,19253.84,776,0,59873.69,589,0,70446.17,705,0,41660.07,584,0,50452.14,503,0
Ty Rosales,518,0,68436.42,310,0,38325.93,390,0,93462.96,933,0,4625.49,961,0,89969.21,895,0
Haven Larsen,519,0,54124.94,457,0,80407.54000000001,797,0,63728.48,640,0,88975.64,117,0,60654.72,593,0
Janae Meyers,520,0,11831.380000000001,857,0,68376.42,681,0,67726.58,679,0,5570.86,948,0,36205.47,354,0
Shaniya Pollard,521,0,22549.350000000002,744,0,16298.11,159,0,5938.59,54,0,30537.87,690,0,92702.84,926,0
Hayden Cook,522,0,33098.7,648,0,61757.840000000004,610,0,8911.31,86,0,25469.36,746,0,43671.23,433,0
Sylvia Scott,523,0,63466.3,356,0,26938.68,267,0,11075.79,104,0,43171.72,569,0,31086.43,298,0
Antonio Khan,524,0,94620.96,50,0,33964.56,356,0,46066.65,481,0,64062.4,370,0,1483.88,12,0
Bruno Zhang,525,0,72704.13,268,0,23121.73,228,0,16769.510000000002,169,0,4083.6800000000003,966,0,22976.170000000002,215,0
Rosa Ramirez,526,0,30835.2,656,0,68633.95,684,0,40989.590000000004,429,0,60466.880000000005,401,0,86503.40000000001,861,0
Titus Harris,527,0,77904.59,207,0,14831.39,146,0,86066.26,857,0,25824.58,744,0,39988.97,388,0
Alison Padilla,528,0,52250.54,471,0,85216.97,836,0,55179.68,570,0,97729.25,21,0,82486.82,827,0
Zoie Wallace,529,0,95243.33,46,0,3525.42,41,0,33386.33,335,0,20243.36,806,0,22233.33,208,0
Kyson Preston,530,0,91107.93000000001,83,0,34456.37,360,0,40735.700000000004,425,0,24743.24,759,0,42665.71,424,0
Jadyn Potts,531,0,66038.3,330,0,52481.04,523,0,48771.62,510,0,28424.600000000002,716,0,48484.05,478,0
Karly Welch,532,0,97126.29000000001,31,0,7986.81,82,0,82235.69,824,0,88546.68000000001,125,0,30014.670000000002,284,0
Keagan Rivers,533,0,96751.14,34,0,43204.38,439,0,76961.04000000001,761,0,95550.62,48,0,51904.97,515,0
Mary Christian,534,0,81038.61,179,0,28068.08,285,0,72428.22,725,0,66799.17,344,0,38206.3,374,0
Jase Lynch,535,0,51327.92,481,0,86959.3,857,0,36761.11,376,0,80712.3,203,0,80647.83,799,0
Natalya Macdonald,536,0,18756.57,782,0,10445.06,104,0,49530.41,517,0,79625.0,215,0,97952.37,982,0
Ryker Prince,537,0,17085.55,789,0,83849.6,825,0,91965.02,913,0,54372.41,471,0,53435.35,536,0
Anabella Pugh,538,0,83060.23,161,0,98913.95,985,0,12042.65,115,0,62963.94,376,0,33066.0,322,0
Leonidas Mueller,539,0,21535.52,755,0,2190.12,27,0,57513.66,590,0,16218.6,845,0,87579.71,876,0
Jaylynn Dunlap,540,0,54861.48,448,0,82878.94,818,0,77453.27,770,0,28307.9,718,0,69244.8,680,0
Athena Suarez,541,0,77077.02,219,0,46048.41,460,0,39988.8,412,0,73636.68000000001,275,0,48458.21,477,0
Felicity Lawrence,542,0,86073.52,135,0,85959.73,843,0,57416.74,589,0,22384.71,787,0,54771.12,545,0
Joyce Gaines,543,0,57621.29,410,0,3894.35,45,0,89501.40000000001,889,0,73936.12,270,0,41451.08,411,0
Lily Cervantes,544,0,46130.78,536,0,35364.04,369,0,34742.57,350,0,54164.130000000005,474,0,24463.45,228,0
Jordin Garza,545,0,5780.74,916,0,61876.090000000004,613,0,801.54,6,0,10278.52,904,0,24270.82,224,0
Kai Hartman,546,0,58063.200000000004,404,0,88426.62,877,0,33172.87,332,0,45661.81,547,0,76565.05,753,0
Kasey Walker,547,0,81606.55,170,0,70575.02,701,0,72083.81,724,0,28700.99,712,0,34126.2,332,0
Nathaly Gordon,548,0,80030.62,189,0,9190.54,92,0,89262.26,885,0,42033.11,579,0,16277.32,157,0
Jamison Lynn,549,0,2506.46,968,0,81254.36,801,0,93030.59,927,0,53982.31,478,0,43970.71,436,0
Cordell Wagner,550,0,76263.47,227,0,91489.25,902,0,67495.67,677,0,75103.26,257,0,83770.89,839,0
Terrence Zavala,551,0,94068.69,55,0,12636.61,129,0,31841.09,321,0,29101.89,704,0,61581.31,599,0
Antony Lin,552,0,27133.77,695,0,97697.62,974,0,17785.24,179,0,86918.23,147,0,91287.11,915,0
Donna Walter,553,0,7212.49,904,0,23008.62,224,0,20463.0,199,0,60190.22,405,0,32174.62,307,0
Arianna Stanton,554,0,37182.83,602,0,86010.6,844,0,27202.9,266,0,28248.59,720,0,73162.2,721,0
Baron Durham,555,0,75622.26,235,0,18962.420000000002,184,0,12334.81,117,0,24310.52,764,0,95307.49,951,0
Alexzander Gonzales,556,0,63120.89,361,0,25802.27,255,0,31409.15,313,0,2873.69,979,0,13949.56,132,0
Calvin Cameron,557,0,57056.35,420,0,20408.48,198,0,87137.84,866,0,64349.74,364,0,83571.37,837,0
Kameron Hartman,558,0,36518.78,610,0,24937.420000000002,247,0,74878.63,744,0,7636.99,927,0,55965.49,557,0
Kaia Booker,559,0,65001.590000000004,343,0,74707.01,746,0,72638.0,726,0,41975.48,581,0,16191.76,155,0
Leilani French,560,0,95610.72,42,0,13794.43,136,0,81099.42,814,0,29212.9,702,0,47299.12,463,0
Lilian Rosales,561,0,72673.31,270,0,50167.31,506,0,89330.76,887,0,94435.14,65,0,70038.96,691,0
Francesca Lopez,562,0,41759.78,570,0,37499.3,384,0,11524.19,108,0,94696.57,62,0,37625.72,366,0
Margaret Woodard,563,0,23551.79,732,0,60952.130000000005,602,0,77773.81,776,0,93931.92,72,0,91293.99,916,0
Genevieve Roman,564,0,56216.6,433,0,17351.6,166,0,17317.41,174,0,51223.72,498,0,23729.53,220,0
Davin Galvan,565,0,83812.3,153,0,82179.88,811,0,16026.210000000001,161,0,49593.12,512,0,41154.85,404,0
Dominique Ali,566,0,34348.270000000004,632,0,99029.78,987,0,4719.49,41,0,43861.31,566,0,29780.39,282,0
Katelyn Murillo,567,0,25740.86,708,0,95136.82,944,0,1795.7,24,0,66810.89,343,0,86032.73,856,0
Kael Shannon,568,0,46747.87,529,0,88794.18000000001,882,0,55807.07,577,0,32074.52,677,0,34206.32,334,0
Deja Morris,569,0,2591.57,965,0,65107.47,643,0,42738.54,448,0,88014.21,134,0,62858.14,609,0
Katrina Mcclure,570,0,19051.8,777,0,98349.24,980,0,70991.69,714,0,26316.62,740,0,800.4,6,0
Stephanie Callahan,571,0,89215.53,101,0,42383.38,433,0,29021.510000000002,290,0,97835.29000000001,19,0,63643.24,621,0
Lamont Tucker,572,0,70197.96,295,0,26664.02,264,0,50179.81,522,0,24881.41,754,0,77396.77,768,0
Harmony Rubio,573,0,58078.18,403,0,68979.69,687,0,7044.4800000000005,65,0,24872.84,756,0,19219.94,190,0
Sasha Pollard,574,0,770.35,990,0,64091.380000000005,634,0,51421.05,533,0,2603.46,981,0,96020.41,960,0
Ali Sims,575,0,81050.68000000001,178,0,2293.04,28,0,85092.79000000001,848,0,41664.590000000004,583,0,58240.03,576,0
Nigel Bonilla,576,0,29154.420000000002,675,0,715.3000000000001,14,0,77320.67,766,0,46806.92,533,0,37931.31,370,0
Corbin Grimes,577,0,81984.81,167,0,73135.89,729,0,69968.28,696,0,60897.700000000004,394,0,95416.67,954,0
Semaj Foster,578,0,55201.42,444,0,41026.83,418,0,56475.24,584,0,30506.850000000002,691,0,48563.5,480,0
Athena Henson,579,0,58974.36,396,0,84898.44,835,0,94465.7,947,0,81068.84,199,0,54440.37,543,0
Demarcus Krause,580,0,45848.33,537,0,66607.0,659,0,18771.88,188,0,26558.8,737,0,69247.38,681,0
Jaylen Cummings,581,0,32266.58,653,0,93179.46,916,0,15669.37,151,0,27837.27,728,0,26081.99,244,0
Carolina Harrington,582,0,57032.700000000004,421,0,88072.21,871,0,2725.96,33,0,10161.1,905,0,50170.25,493,0
Connor Robertson,583,0,28090.77,684,0,76338.12,757,0,2065.33,27,0,56433.06,447,0,2934.58,25,0
Ahmad Weiss,584,0,88712.8,105,0,36893.520000000004,381,0,46591.62,487,0,82926.78,173,0,97299.58,975,0
Roman Henson,585,0,10666.58,874,0,48448.33,482,0,49649.9,519,0,11003.18,894,0,32634.66,315,0
Miranda Baker,586,0,69998.23,296,0,34592.94,361,0,92538.87,920,0,70487.08,305,0,73561.89,728,0
Jaidyn Drake,587,0,84830.46,149,0,91555.27,903,0,92133.65000000001,916,0,75410.93000000001,253,0,74164.85,733,0
Cody Lozano,588,0,55083.590000000004,445,0,14202.94,140,0,87301.23,868,0,44591.86,557,0,6722.59,54,0
Vivian Carr,589,0,48792.66,514,0,45165.65,450,0,8977.73,88,0,51452.56,497,0,67080.96,662,0
Hayley Fisher,590,0,65048.020000000004,342,0,86864.48,856,0,15902.43,158,0,65714.33,354,0,22768.56,214,0
Zaid Watts,591,0,87237.23,126,0,93398.79000000001,920,0,11588.18,109,0,92192.8,91,0,49905.42,491,0
Raul Cross,592,0,12834.01,841,0,58472.82,580,0,16443.93,166,0,96354.33,40,0,3091.14,28,0
Quentin Solomon,593,0,64825.53,344,0,11847.86,120,0,64598.020000000004,649,0,17040.670000000002,833,0,17978.170000000002,180,0
Amina Wood,594,0,27433.31,691,0,91440.75,901,0,21667.43,215,0,27343.28,729,0,15609.91,151,0
Wilson Mckee,595,0,29848.9,663,0,87703.24,867,0,41109.82,431,0,79633.94,214,0,38130.25,373,0
Kaylynn Hale,596,0,81956.38,168,0,93902.03,925,0,48445.04,507,0,82703.09,179,0,2959.16,26,0
Serenity Lane,597,0,58424.75,399,0,21263.74,207,0,87667.21,874,0,70229.08,307,0,14715.98,140,0
Norah Gardner,598,0,19753.39,773,0,12056.7,122,0,66579.98,666,0,7566.12,928,0,58457.12,581,0
Tomas Fitzgerald,599,0,79363.39,195,0,92474.04000000001,909,0,70918.38,712,0,19446.0,812,0,99428.08,999,0
Lindsey Herrera,600,0,97.15,998,0,38481.28,393,0,77317.73,765,0,78406.21,230,0,20990.02,199,0
Kayden Hartman,601,0,84985.52,145,0,47520.24,473,0,22412.63,220,0,11610.960000000001,885,0,37665.44,369,0
Jadyn Rogers,602,0,24543.75,723,0,75766.02,753,0,64774.39,650,0,87731.39,138,0,81710.97,809,0
Cornelius Miranda,603,0,53093.69,463,0,19701.06,192,0,60823.62,616,0,59041.1,419,0,69373.23,684,0
Quincy Malone,604,0,15158.0,812,0,96993.63,966,0,68997.08,691,0,22901.45,778,0,10372.86,86,0
Ashlyn Soto,605,0,50488.75,491,0,26974.02,268,0,79729.72,795,0,51966.11,493,0,86894.59,867,0
Kathleen Roy,606,0,81680.67,169,0,21455.43,208,0,35105.47,357,0,73869.14,272,0,48558.68,479,0
Roderick Pacheco,607,0,17450.69,787,0,94607.48,933,0,4099.84,39,0,66332.62,349,0,98653.59,994,0
Augustus Lozano,608,0,50706.770000000004,487,0,6616.84,74,0,21356.670000000002,211,0,3457.73,973,0,89135.57,885,0
Keon Reilly,609,0,33199.81,647,0,82670.61,817,0,57022.32,587,0,40778.66,591,0,94044.09,938,0
Nathanael Strickland,610,0,77577.93000000001,212,0,25031.93,249,0,33675.56,342,0,26587.29,736,0,69904.17,689,0
Eve Buckley,611,0,20797.24,762,0,59169.56,583,0,53436.090000000004,546,0,19165.13,815,0,86054.63,857,0
Branden Burke,612,0,71226.2,285,0,8057.400000000001,83,0,10723.12,102,0,5524.46,949,0,81957.85,815,0
Reagan Santos,613,0,36375.950000000004,611,0,7217.9800000000005,78,0,52726.81,540,0,75435.90000000001,252,0,37467.8,365,0
Dixie Weeks,614,0,54287.15,453,0,23122.15,229,0,16195.460000000001,164,0,8551.91,920,0,92820.55,928,0
Stephanie Bowman,615,0,16.34,1000,0,98854.73,983,0,66465.3,665,0,57620.840000000004,436,0,76789.68000000001,758,0
Ariel Moyer,616,0,88337.28,107,0,41565.06,422,0,1754.69,22,0,22299.82,788,0,14026.28,135,0
Axel Compton,617,0,93592.83,61,0,26003.5,257,0,18158.05,183,0,8945.300000000001,917,0,6264.76,49,0
Madilyn Garcia,618,0,57449.28,414,0,31077.100000000002,323,0,45340.33,473,0,44934.44,553,0,92150.38,924,0
Quinn Ortiz,619,0,32981.46,649,0,90475.14,896,0,98263.99,986,0,17973.02,826,0,48814.23,483,0
Griffin Trujillo,620,0,967.21,988,0,6053.81,69,0,88756.7,882,0,79165.15000000001,223,0,88072.62,881,0
Deborah Mckee,621,0,57324.61,415,0,65995.31,650,0,93210.73,928,0,60191.200000000004,404,0,11475.53,104,0
Isabella Lawson,622,0,79569.29000000001,192,0,56065.32,551,0,80287.65000000001,800,0,92501.3,87,0,98296.22,986,0
Marcel Sanford,623,0,90939.13,85,0,30747.71,316,0,39281.340000000004,401,0,13569.64,874,0,50172.48,494,0
Leandro Cochran,624,0,85246.75,144,0,90726.68000000001,898,0,80499.73,801,0,61918.11,385,0,13882.1,130,0
Khalil Mahoney,625,0,1717.8400000000001,978,0,421.78000000000003,6,0,87656.19,872,0,75954.02,248,0,97192.75,973,0
Leonidas Kirk,626,0,4324.42,935,0,35365.76,371,0,46532.69,486,0,93704.17,76,0,92295.17,925,0
Adrien Bartlett,627,0,90522.32,89,0,86543.64,850,0,30205.03,302,0,11852.56,883,0,87564.08,875,0
Jaelyn Richmond,628,0,40925.78,579,0,10528.03,105,0,14964.17,147,0,15986.36,850,0,45180.43,449,0
Jerome Farley,629,0,34292.75,635,0,95240.67,947,0,6283.96,58,0,96948.83,33,0,36360.05,356,0
Bianca Sampson,630,0,99286.76000000001,8,0,61791.630000000005,611,0,7862.38,75,0,38789.450000000004,616,0,66542.73,657,0
Reynaldo Michael,631,0,1050.9,986,0,92544.79000000001,910,0,34278.85,346,0,58453.5,426,0,76495.53,752,0
Hunter Lawrence,632,0,42107.75,568,0,69726.36,695,0,11985.130000000001,114,0,5952.150000000001,944,0,8545.0,77,0
Mariela Stafford,633,0,88965.05,103,0,87415.95,863,0,15849.04,156,0,66413.95,348,0,37112.68,362,0
Trevon Salazar,634,0,46783.73,528,0,83369.07,824,0,90056.58,896,0,44492.28,559,0,29473.36,277,0
Cecelia Mcintosh,635,0,48647.88,516,0,27575.420000000002,276,0,98755.05,992,0,20826.0,804,0,81719.51,810,0
Adison Blanchard,636,0,3802.76,948,0,59865.840000000004,588,0,60110.66,607,0,80866.09,201,0,79446.99,789,0
Donald Ponce,637,0,65087.060000000005,341,0,70740.42,704,0,93850.92,938,0,57066.4,440,0,6789.52,56,0
Kyler Dickerson,638,0,80273.61,188,0,83003.1,821,0,60588.18,614,0,24811.86,758,0,1174.17,8,0
Lukas Kaiser,639,0,21306.45,757,0,21954.03,213,0,63958.46,643,0,55334.8,459,0,66109.64,648,0
Killian Landry,640,0,20441.77,769,0,96005.54000000001,957,0,13639.91,133,0,7084.99,933,0,90051.67,897,0
Bryan Bowen,641,0,78096.63,205,0,6084.77,70,0,75152.29000000001,746,0,66209.8,350,0,36047.81,351,0
Lorenzo Butler,642,0,5904.92,915,0,73299.38,731,0,86879.11,862,0,64538.840000000004,362,0,15573.42,149,0
Trey Finley,643,0,24806.510000000002,719,0,27382.22,274,0,92087.33,914,0,29418.79,701,0,58894.36,585,0
Sara Nixon,644,0,47828.0,523,0,94754.43000000001,937,0,66906.18000000001,670,0,38035.8,624,0,64538.840000000004,627,0
Joy Torres,645,0,50563.66,490,0,3322.8,38,0,50759.42,527,0,72047.74,292,0,95421.29000000001,955,0
Darnell Hancock,646,0,2860.94,959,0,84789.26,832,0,62175.92,627,0,88740.09,122,0,8763.53,80,0
Skyla Ortiz,647,0,10076.66,881,0,48986.28,491,0,66059.36,662,0,33133.66,667,0,18921.670000000002,185,0
King Fry,648,0,3227.83,955,0,33828.8,354,0,64562.85,647,0,79505.34,217,0,56679.42,567,0
Terry Choi,649,0,62447.29,367,0,9876.77,98,0,80768.09,803,0,74873.22,261,0,41472.11,413,0
Erika Johnston,650,0,57013.67,422,0,20309.05,197,0,57853.5,593,0,89271.17,115,0,66274.13,653,0
Malcolm Trevino,651,0,12284.62,851,0,73263.64,730,0,38259.15,393,0,67247.01,338,0,21451.38,204,0
Alivia Mcmillan,652,0,55038.18,447,0,40882.13,415,0,79940.25,797,0,71178.35,296,0,3457.05,31,0
Vicente Moses,653,0,91119.59,82,0,57692.29,570,0,43039.76,452,0,87542.2,141,0,81805.95,814,0
Abril Weber,654,0,29469.62,670,0,31786.4,338,0,17180.35,173,0,78838.90000000001,226,0,30074.55,285,0
Makaila Oneill,655,0,6273.18,912,0,73860.61,738,0,65838.97,659,0,23175.75,775,0,61358.590000000004,596,0
Alisha Mclaughlin,656,0,13388.050000000001,832,0,76815.24,760,0,30097.03,300,0,8125.28,922,0,24786.15,232,0
Adan Mills,657,0,13212.7,834,0,55591.200000000004,549,0,30782.940000000002,307,0,70491.93000000001,304,0,57630.03,572,0
Cierra Bray,658,0,23626.91,731,0,93369.51,917,0,20503.61,200,0,83709.77,167,0,80469.33,797,0
Kelsey Mclean,659,0,15823.79,805,0,39727.07,408,0,87764.41,875,0,94603.95,64,0,32926.85,319,0
Camille English,660,0,416.56,994,0,93998.94,928,0,5540.42,48,0,31527.61,683,0,23186.2,217,0
Carter Austin,661,0,34336.74,634,0,71652.14,712,0,71160.36,715,0,28170.62,722,0,10705.630000000001,91,0
Sarahi Davidson,662,0,839.82,989,0,5431.21,61,0,28984.27,289,0,25987.78,743,0,8140.6,71,0
Yosef Stark,663,0,35234.71,623,0,46672.07,465,0,15527.84,149,0,18951.15,818,0,77646.57,771,0
Genevieve Marquez,664,0,57707.32,409,0,63024.53,628,0,52924.590000000004,542,0,9588.45,911,0,30480.47,292,0
Kayleigh Flores,665,0,2358.2000000000003,969,0,62987.05,626,0,74677.39,742,0,90511.75,106,0,75956.11,744,0
Lila Cohen,666,0,46434.4,532,0,92696.57,912,0,47951.8,502,0,73355.16,281,0,52205.93,519,0
Leonard Kidd,667,0,44725.8,546,0,18866.87,181,0,1016.66,11,0,21129.57,798,0,26093.48,245,0
Armani Roberts,668,0,27190.14,694,0,29561.06,301,0,70416.26,704,0,6164.93,942,0,72174.36,714,0
Dillan Wheeler,669,0,88067.47,112,0,18338.13,178,0,2854.36,35,0,66896.94,342,0,17190.35,169,0
Kinsley Vaughn,670,0,67234.47,317,0,57136.4,565,0,91727.2,908,0,5317.53,952,0,69435.37,685,0
Frankie Wilkinson,671,0,58229.49,401,0,48971.75,490,0,63822.630000000005,642,0,56272.58,448,0,56112.66,559,0
Avah Moore,672,0,12728.12,843,0,11543.630000000001,115,0,37415.83,381,0,14900.51,861,0,12527.03,117,0
Holly Reid,673,0,39110.840000000004,587,0,23512.55,235,0,5619.21,50,0,7535.51,929,0,63168.26,616,0
Carlo Lozano,674,0,3247.16,954,0,30006.39,309,0,89565.17,890,0,27151.87,730,0,55189.81,547,0
Alanna Bullock,675,0,45777.55,538,0,17622.71,168,0,76851.55,760,0,82014.84,187,0,82415.04000000001,825,0
Daisy Yates,676,0,73487.97,259,0,78313.75,772,0,59110.19,600,0,22430.68,785,0,23003.08,216,0
Sarai Haas,677,0,26989.08,698,0,54337.200000000004,539,0,84940.7,846,0,60867.23,395,0,46165.98,455,0
Damian Roman,678,0,77993.82,206,0,66530.3,657,0,70704.49,708,0,23023.58,776,0,47814.29,468,0
Isabel Thomas,679,0,20561.27,763,0,16277.970000000001,158,0,56353.6,583,0,63252.22,374,0,95537.72,956,0
Kenny Booker,680,0,9477.710000000001,884,0,16192.61,156,0,60156.35,608,0,83694.67,168,0,91988.87,921,0
Adison Huynh,681,0,4191.65,939,0,39434.590000000004,405,0,27641.82,270,0,74920.04000000001,260,0,96905.71,970,0
Jordyn Hester,682,0,21689.98,752,0,7031.03,77,0,57007.96,586,0,92687.98,85,0,88021.16,880,0
Nora Mooney,683,0,43446.39,557,0,23759.03,238,0,90964.67,904,0,7955.31,925,0,78197.47,779,0
Alani Miller,684,0,64396.64,349,0,17110.41,165,0,10623.81,101,0,2593.58,982,0,89037.16,884,0
Braxton Carter,685,0,55466.49,439,0,66336.88,654,0,20896.11,206,0,79436.43000000001,218,0,6274.78,50,0
Tommy Parsons,686,0,83711.3,154,0,35188.76,368,0,82795.26,827,0,40350.29,601,0,63696.86,622,0
Francis Francis,687,0,80759.19,184,0,91736.82,905,0,77239.46,764,0,65207.16,356,0,90635.04000000001,904,0
Jaron Fischer,688,0,15154.35,813,0,36810.520000000004,380,0,76009.42,756,0,58314.24,428,0,13963.28,133,0
Logan Blake,689,0,2794.56,962,0,50082.4,504,0,44492.42,462,0,32454.420000000002,673,0,44933.05,447,0
Erick Calderon,690,0,27332.62,692,0,49782.97,501,0,54542.16,565,0,30027.91,696,0,97701.06,978,0
Jamie Randall,691,0,29547.12,667,0,26573.88,263,0,94623.42,949,0,14402.19,867,0,33662.35,326,0
Gauge Wilkins,692,0,8992.95,891,0,75563.65000000001,752,0,34318.090000000004,347,0,89416.32,111,0,42373.63,421,0
Phoebe Bautista,693,0,34636.76,628,0,94038.2,929,0,2745.2200000000003,34,0,72156.51,291,0,9061.77,81,0
